restaurant_id,outlet_type,outlet_name,city,primary_category,avg_prep_time_min,partner_since
OUT0132,Food Delivery,Fresh Bazaar,Pune,Desserts,26,2022-10-11
OUT0133,Food Delivery,Golden Treats,Pune,Street Food,17,2023-08-08
OUT0134,Food Delivery,City Treats,Lucknow,Biryani,22,2023-05-07
OUT0135,Food Delivery,The Bites,Jaipur,Beverages,29,2023-04-10
OUT0136,Grocery,Golden Bites,Chennai,Household Essentials,5,2024-01-12
OUT0137,Food Delivery,Sunrise Basket,Ahmedabad,South Indian,31,2022-12-29
OUT0138,Food Delivery,Urban Bites,Pune,Desserts,25,2023-11-02
OUT0139,Food Delivery,Spice Kitchen,Bengaluru,Bakery,11,2022-11-06
OUT0140,Grocery,Village Basket,Mumbai,Staples,9,2023-02-23
OUT0141,Grocery,The Grill,Lucknow,Snacks,8,2024-03-22
OUT0142,Food Delivery,The Bazaar,Kolkata,Desserts,12,2024-10-09
OUT0143,Food Delivery,Fresh Corner,Pune,South Indian,31,2025-01-13
OUT0144,Grocery,Metro Mart,Ahmedabad,Fruits & Vegetables,8,2024-01-24
OUT0145,Grocery,Metro Bites,Bengaluru,Beverages,14,2024-06-17
OUT0146,Food Delivery,South Foods,Mumbai,North Indian,15,2023-09-17
OUT0147,Food Delivery,Green Bazaar,Hyderabad,Biryani,28,2024-08-09
OUT0148,Grocery,Royal Kitchen,Delhi,Beverages,13,2023-07-15
OUT0149,Grocery,Royal Dhaba,Bengaluru,Dairy & Eggs,7,2023-09-17
OUT0150,Food Delivery,Metro House,Chennai,South Indian,23,2023-05-22
OUT0151,Food Delivery,Sunrise Grill,Bengaluru,Biryani,15,2024-04-10
OUT0152,Grocery,Royal Bazaar,Bengaluru,Snacks,11,2022-12-10
OUT0153,Grocery,Village Basket,Chennai,Household Essentials,10,2024-04-29
OUT0154,Grocery,Tasty Bites,Hyderabad,Snacks,9,2023-02-26
OUT0155,Grocery,Spice House,Lucknow,Dairy & Eggs,12,2022-09-22
OUT0156,Food Delivery,Spice Grill,Jaipur,Beverages,25,2024-11-13
OUT0157,Grocery,South Express,Mumbai,Dairy & Eggs,11,2023-11-05
OUT0158,Food Delivery,Village Store,Bengaluru,Biryani,20,2022-07-25
OUT0159,Grocery,Fresh House,Bengaluru,Bakery,9,2024-07-09
OUT0160,Food Delivery,Spice Express,Chennai,North Indian,14,2022-08-04
OUT0161,Grocery,Metro Express,Ahmedabad,Household Essentials,7,2025-02-15
OUT0162,Food Delivery,Urban Corner,Bengaluru,Chinese,30,2024-04-14
OUT0163,Food Delivery,The Grill,Bengaluru,Bakery,15,2023-02-27
OUT0164,Food Delivery,Green Cafe,Chennai,Street Food,11,2023-10-15
OUT0165,Grocery,Golden Grill,Ahmedabad,Snacks,14,2024-03-23
OUT0166,Grocery,Spice Foods,Chennai,Fruits & Vegetables,7,2023-05-28
OUT0167,Grocery,South Foods,Lucknow,Dairy & Eggs,12,2022-10-24
OUT0168,Food Delivery,The Mart,Bengaluru,Biryani,13,2024-12-29
OUT0169,Food Delivery,Green House,Pune,Italian,33,2022-12-26
OUT0170,Grocery,Fresh Treats,Mumbai,Staples,7,2023-03-13
OUT0171,Grocery,Golden Kitchen,Ahmedabad,Household Essentials,10,2022-06-10
OUT0172,Grocery,Royal Cafe,Pune,Beverages,11,2024-06-08
OUT0173,Grocery,Fresh Grill,Chennai,Beverages,5,2022-12-03
OUT0174,Grocery,Fresh Dhaba,Bengaluru,Beverages,11,2023-12-26
OUT0175,Food Delivery,Metro Basket,Chennai,Italian,20,2024-01-18
OUT0176,Grocery,Punjab Dhaba,Jaipur,Dairy & Eggs,9,2023-09-07
OUT0177,Food Delivery,Metro Basket,Jaipur,North Indian,10,2022-10-12
OUT0178,Grocery,Punjab Basket,Lucknow,Household Essentials,8,2024-09-12
OUT0179,Grocery,Spice Express,Bengaluru,Bakery,8,2024-08-17
OUT0180,Food Delivery,Sunrise Store,Bengaluru,Chinese,31,2022-11-18
